species,beta_doy,se_doy,beta_altitude,se_altitude,beta_ndvi_m,se_ndvi_m,beta_ndvi_sd,se_ndvi_sd
Abax ovalis,1.4178117103793069,NA,-4.231735258691495,NA,7.328247403132334,NA,3.599095816024445,NA
Abax parallelepipedus,0.6355515728734771,110.55156853030118,-0.9838699475137188,71.52249533836664,4.5103515119259265,301.5529538174706,0.043962919299904174,176.8178616998244
Acupalpus meridianus,-0.07879785019070194,13425.11732281908,-2.8676989815080614,16509.21675709905,1.0834501938045735,24270.389486849646,-4.2852722361707665,15583.082279451155
Agonum muelleri,0.047002893352284775,1537.2534777509336,-0.6699433508704914,1793.7279360998136,-0.23295231226957694,1146.7993654855636,0.3188384675788825,1293.0983846947458
Agonum nigrum,-6.62613751200996,NA,-7.49176560875522,NA,4.72633888845443,NA,0.635007263095344,NA
Amara anthobia,-2.050292563929883,51457.370411416676,-5.31529107480325,85809.56132217587,1.7502167197082628,34765.41160992749,-4.235681484232369,NA
Amara convexior,-0.32913470876003437,1206.4538528139487,-0.7541642622355965,1167.7698136115682,0.9557914888064774,1923.9422764511667,0.17233634689265862,1648.6485800409569
Amara familiaris,-2.6604184735880936,16777.304174127275,-0.29907221944748824,NA,5.447186877472534,37095.831848683534,6.266912327381409,12505.010463797518
Amara lunicollis,-2.1160029726242393,2220.281484581169,0.9164346351721169,811.8066689743855,0.13616858805086923,823.8315275339855,2.671421133558807,1953.0912822028658
Amara plebeja,5.0828037146633545,33042.12573412854,-8.287126450163361,NA,5.3939270902594725,33042.122290856634,-5.511903025950396,NA
Amara similata,-1.8438030112189994,2580.672973689413,-0.3798530038991744,1566.1936616518578,0.16897139876175557,1762.970332945084,1.8377826877859278,2032.3910322069162
Anchomenus dorsalis,2.6263396104798984,532.2129994824381,1.2466865908873357,1034.894388821519,0.3499793382192389,230.03641624243014,0.7798542720695256,290.6054601109514
Anisodactylus binotatus,-0.2837936166287583,1074.5089155991684,-2.075400839179412,2759.878286754585,2.7236934012874614,3323.5706155477355,2.1785109449970856,2024.2639824858172
Asaphidion stierlini,-0.9889724778086624,1451.0892050164966,-5.47937623840856,4500.700312394316,-0.07612200531659252,896.2686504121629,-0.30483160544717386,888.2895936245905
Badister bullatus,1.690360744511979,15154.857177442034,-1.6374249141590147,13537.521373232263,-1.579358389743435,7876.110138330445,0.3088624489118186,10007.5268934127
Bembidion lampros,0.01933886147111752,704.7421153377763,-0.14608474059332258,666.6955015051759,-0.29111125802741666,657.9081200262345,-0.20491258838869095,672.0425232142904
Bembidion lunulatum,-0.9646026470300538,2540.8888556561906,-6.043005350831885,4219.5326309784405,1.0178505325345417,1355.4726840665728,0.6323404789823432,1778.1152052822317
Bembidion obtusum,-8.229412667465812,18492.33443001744,-7.742074642854205,NA,-8.784484268628358,NA,10.790526514583366,3607.5839938247927
Bembidion properans,4.656176162467947,1302.559750147944,1.9156411901115804,1531.584040178835,-0.26025607084573843,410.0626540033193,0.45462093947067356,485.1733289143695
Bembidion quadrimaculatum,0.6428109003809825,786.6799432707297,-0.4464993193751129,886.5372960210171,-0.671737434250327,1237.0853568795283,1.1645682000089783,952.9062585397803
Brachinus explodens,-0.0727298793089654,21138.4481762147,-4.9636874012439325,15321.187057293137,0.5699763462357403,22307.855162431308,-2.2530389548709158,36542.118739235826
Brachinus sclopeta,-2.632721655677463,6961.755470891556,0.751948147239259,2677.907280945377,2.496075117885958,1956.1399612536482,3.7230706372399234,1824.7244203981281
Calathus fuscipes,-2.644175856673538,22543.229541467077,2.235259789922486,NA,-0.32102022013958464,2025.353085502821,0.42176322849113107,21793.67539347533
Carabus auratus,-2.6627855897490122,1591.991704439657,0.6686389204781754,1298.415067619031,1.915589424923837,457.2003067293035,0.32343915866549433,233.27723279575721
Carabus auronitens,3.3629281417775085,NA,3.9679029138306676,NA,3.6693452233293677,NA,-0.5920876192452419,NA
Carabus granulatus,1.0698662336340536,60193.84374193114,-6.080260840293345,34504.888592436546,-0.4443295232494348,9044.342599007172,-1.217440780664688,22185.227343114508
Carabus nemoralis,0.2835112312795371,420.6335525823572,0.9029095992301602,705.2691338683401,5.0867062910671486,2326.5747863265265,2.093927103286625,1275.970199070758
Carabus problematicus,2.497345692733988,NA,4.160236567082524,NA,2.7225734811906572,NA,-0.692330894861997,29104.31540733782
Carabus violaceus purpurascens,5.395847264223136,NA,2.1662454761288132,NA,8.60457591852363,NA,-4.581349164679361,NA
Clivina fossor,-2.3105064182384867,9356.434039323149,-5.9884364017124385,18795.19027271515,2.2781854952886844,10160.039271433205,-2.8779031950852305,12975.847973370881
Harpalus affinis,0.38366896217321605,861.8397979903748,0.6184434542981718,1824.6765511571878,0.26957212552913684,811.1981075476285,0.09242530612986703,550.9841461890621
Harpalus anxius,-1.496370072077195,16622.116400446535,-3.603049022131543,24087.722143615498,0.724678185266222,NA,-2.9955093894357843,NA
Harpalus cupreus,-7.493569041020306,NA,-2.662000521274231,NA,2.967658618319626,5158.886162838532,-5.554351926191487,27728.994687366423
Harpalus dimidiatus,-1.2900273290889548,1026.859360747978,1.318172552081654,1337.6760645186862,0.38272208185602263,653.3535957617281,1.5036881895005112,629.276425858376
Harpalus distinguendus,-1.035302544792293,2069.7407868580517,-1.4801212291607373,1034.0137095048042,-3.5246778745329745,2491.9657420503345,-4.257293103308035,2862.4542657114143
Harpalus latus,5.623766805854827,25978.3342789137,-0.42383207447790444,40012.560264057305,4.171707361004213,24507.20039062127,-2.866459293062183,48686.20972326462
Harpalus oblitus,-4.580363081019837,140675.12764345435,-3.208501625389111,31799.026118810005,3.306320102336297,63384.2329447481,-2.5615850689584714,17366.475369316402
Harpalus rubripes,0.32688587169676603,1948.908602377162,-0.5248684366952219,1048.6709028668265,-0.1493758393024275,2012.1398386010887,-1.0159057027301037,1887.163639703545
Harpalus serripes,1.5502266144597403,100215.78965086135,0.9322737065538378,45487.65198167001,-4.239829997951391,25085.621257137973,-1.2278473416219668,35192.897199341176
Harpalus tardus,-0.707003724280974,NA,-4.478651810898252,NA,1.9937748893153373,NA,0.5440176921320204,10450.43942899943
Licinus punctatulus,-3.6396291234590556,NA,-2.799152969392282,NA,-6.164049092376345,NA,-3.7576057453463676,NA
Loricera pilicornis,0.3190655457357324,1261.5732620013885,-2.5297395021970464,1709.0937983335405,0.45568164770803743,1020.7511186288637,0.13245524058369745,1055.9044898762136
Microlestes,1.1830600286084632,3874.906263661469,1.01584466677431,2542.449925449609,-1.08434253228775,5243.403940509939,-2.8827904747290587,5197.145645230361
Microlestes minutulus,-1.3501198963578862,7393.816010681394,1.2692994112524025,2819.3364515275275,-1.1773237387544429,4363.8851161978755,-1.2425896298241912,2775.0177639038902
Molops piceus,-5.951620852811052,156702.0087338987,10.653104423843578,131282.5273936618,9.9273202584454,NA,-1.2043779387915243,8292.102663027863
Nebria brevicollis,-0.1500998145392031,1866.2193403259796,0.5972566007617185,1842.0998799568424,-0.7354799639359075,1403.2998055520168,-0.6019711755812671,1766.5469642436346
Notiophilus biguttatus,-0.039134331658083554,458.436402155349,0.7761651510258777,280.71992044424286,-0.6447210991079784,371.7907814888196,-0.17399608645558384,328.2903487567306
Notiophilus palustris,4.845664912611439,145832.0885368436,4.892559326795207,NA,6.159607664847141,134217.72790625,-3.349530126247243,100039.98724845676
Notiophilus quadripunctatus,-0.9018157028349854,2231.2172917141456,2.9990061659639444,4502.243017196892,0.3104673100731908,1196.0218567686763,-0.21220704065745555,1079.618614503292
Notiophilus rufipes,4.980866254301215,NA,5.998414106177167,NA,3.948353111252211,4506.425732485142,4.455430728592937,NA
Notiophilus substriatus,-4.397284510702271,7175.649872245338,-1.5631471670429886,6775.947204883699,-0.06323448111045593,4843.604060282669,0.942571585344355,2464.3145613534243
Ophonus ardosiacus,1.8398681638976366,33832.12135496044,-4.209505500659201,47832.62104594033,3.56301260438941,NA,-3.6891140281229364,NA
Parophonus maculicornis,0.765021557119538,1266.1050052469539,-1.173678559736147,1968.7345427526325,2.8149159817848872,1494.5684245783882,-2.200111430134316,1017.832999612902
Poecilus cupreus,-1.895556191356637,434.8160734209056,-1.4421477682915564,399.77359999719107,-2.234133218672648,534.4663263083321,-1.1180480093353171,187.91849674033907
Poecilus versicolor,0.08981540844223168,3084.9977982723653,-3.084464228080931,3496.333818364343,3.262139840045392,4505.146714769288,-4.389742367903877,3298.7177925976684
Pseudoophonus rufipes,0.9790154719232038,993.1959904505144,-1.7805459128786838,1422.2730509085102,1.4410982705489253,877.1958828531532,-1.266519827379106,1001.4831542549896
Pterostichus madidus,-0.22007776863724227,2726.949920115876,-1.2842151220412867,2932.7452227172744,0.2958182174729002,2052.7163891005303,0.12233330922842789,2421.9481271897976
Pterostichus melanarius,4.417361461904963,66908.11506537373,-6.839287457243327,46171.215756413694,-12.938834191368969,47756.82760554327,4.420959574432042,78475.09240895328
Pterostichus strenuus,0.42824328687919827,228.1848147605496,-2.8621316323855464,423.43809548726756,3.51817497936433,521.9204842889229,-0.46088621808016794,340.7823569115349
Pterostichus vernalis,0.9921771085730285,2492.1098193678104,-1.6789574287721183,4171.411497395686,4.865316366820789,8765.851580048016,-1.5536812776960036,2398.237395043691
Stenolophus teutonus,-4.2290373923919296,22881.472935296297,-3.719978980279075,18737.376172882658,3.132164547655227,18127.021295969695,-2.8342885918193272,12633.120710321211
Syntomus foveatus,-0.8382395228934576,NA,-2.6497374119242214,NA,0.9810225067667799,13180.95424666272,4.281014532477466,NA
Syntomus obscuroguttatus,4.151040512596216,9143.326727357795,1.03029791901092,7645.732342925161,-1.7964720633441986,8377.362603028916,0.9010704050311813,1753.6501059200234
Tachys bistriatus,0.4967321334056151,3903.0314675412014,-2.1550463752810507,2896.268898360815,-0.40324056098889166,1024.9237899129714,-1.0254167702263968,2615.8888648030675
Trechus quadristriatus,0.04640911982746443,4870.307740991527,-4.837811475727783,8101.350859862774,-4.113784202161219,3310.182654917887,4.580351936421182,3751.2815182925956
